,,,,,,,,"Ministry of Health, Malawi",,,,,,,,,,,,,,Page 1,,,, of 370,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Reporting rate: 94%,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
LMIS Summary by facility,,,,,,,,,,,,,,,,,,,,,,,,,,,
District:,,,,,,,Reporting Period:,,,,,,,,Program:,,,,,,,,,Report Run Date:,,,
All,,,,,,,Jun2026,,,,,,,,HIV,,,,,,,,,25 - Sep - 26,,,
Line #,Order Type,,District,Facility Code,,Facility Name,,,Facility Type,Facility Operator,Product Code,Product,,Unit of Issue,,Quantity Received,Quantity Issued,AMC,,Closing balance (SOH),,,Requested Quantity,,Total stockout days,,Total losses and adjustments
20,Normal,,Zomba,ZA2768,,Zomba city private clinic,,,Clinic,Private,GF0072,"Tenofovir Disoproxil Fumarate/Lamivudine(TDF/3TC ), 300/300mg, pack of 30 tablets",,Bottle,,0,15,8,,0,,,-,,0,,0
21,Normal,,Zomba,ZA2768,,Zomba city private clinic,,,Clinic,Private,GF0078,"Tenofovir Disoproxil Fumarate/Lamivudine/Dolutegravir (TDF/3TC /DTG), 300/300/50mg, pack of 30 tablets (13A)",,Bottle,,0,68,42,,0,,,-,,0,,0
22,Normal,,Zomba,ZA2768,,Zomba city private clinic,,,Clinic,Private,GF0078-A,"Tenofovir Disoproxil Fumarate/Lamivudine/Dolutegravir (TDF/3TC /DTG), 300/300/50mg, pack of 90 tablets (13A)",,Bottle,,0,0,9,,63,,,-,,0,,0
23,Normal,,Zomba,ZA2762,,Zomba Central Prison Clinic Health Centre,,,Health Centre,Government of Malawi,GF1103,"Abacavir/Lamivudine (ABC/3TC), 600/300mg, pack of 30 tablets",,Bottle,,0,0,1,,6,,,-,,0,,0
24,Normal,,Zomba,ZA2762,,Zomba Central Prison Clinic Health Centre,,,Health Centre,Government of Malawi,GF0570,"Atazanavir/Ritonavir (ATV/r), 300/100mg, pack of 30 tablets",,Bottle,,0,7,4,,7,,,-,,0,,0
25,Normal,,Zomba,ZA2762,,Zomba Central Prison Clinic Health Centre,,,Health Centre,Government of Malawi,GF5313,Isoniazid/Rifapentine 300/300mg pack of 36 tablets,,Tablets,,0,360,180,,864,,,-,,0,,0
26,Normal,,Zomba,ZA2762,,Zomba Central Prison Clinic Health Centre,,,Health Centre,Government of Malawi,GF0072,"Tenofovir Disoproxil Fumarate/Lamivudine(TDF/3TC ), 300/300mg, pack of 30 tablets",,Bottle,,0,13,7,,12,,,-,,0,,0
27,Normal,,Zomba,ZA2762,,Zomba Central Prison Clinic Health Centre,,,Health Centre,Government of Malawi,GF0078,"Tenofovir Disoproxil Fumarate/Lamivudine/Dolutegravir (TDF/3TC /DTG), 300/300/50mg, pack of 30 tablets (13A)",,Bottle,,0,105,65,,57,,,-,,0,,-50
28,Normal,,Zomba,ZA2762,,Zomba Central Prison Clinic Health Centre,,,Health Centre,Government of Malawi,GF0078-A,"Tenofovir Disoproxil Fumarate/Lamivudine/Dolutegravir (TDF/3TC /DTG), 300/300/50mg, pack of 90 tablets (13A)",,Bottle,,0,92,101,,840,,,-,,0,,0
29,Normal,,Zomba,ZA2762,,Zomba Central Prison Clinic Health Centre,,,Health Centre,Government of Malawi,GF0868,"DBS Bundles, 70 microlitre, Pack of 50 Tests",,Test,,0,100,75,,250,,,-,,0,,0
30,Normal,,Zomba,ZA2762,,Zomba Central Prison Clinic Health Centre,,,Health Centre,Government of Malawi,GF0325,"Determine Hepatitis B tests, pack of 100 tests",,Test,,0,0,300,,0,,,-,,30,,0
31,Normal,,Zomba,ZA2762,,Zomba Central Prison Clinic Health Centre,,,Health Centre,Government of Malawi,GF0088,"Determine HIV 1/2, Kit of 100 Tests",,Test,,0,"1,000",650,,0,,,-,,0,,800
32,Normal,,Zomba,ZA2762,,Zomba Central Prison Clinic Health Centre,,,Health Centre,Government of Malawi,GF0087,Determine Syphilis pack of 100 tests,,Test,,0,0,50,,0,,,-,,30,,0
33,Normal,,Zomba,ZA2762,,Zomba Central Prison Clinic Health Centre,,,Health Centre,Government of Malawi,GF5099,"OraQuick HIV Self Test Kit, Pack of 25 Tests",,Test,,0,50,50,,100,,,-,,0,,0
34,Normal,,Zomba,ZA2762,,Zomba Central Prison Clinic Health Centre,,,Health Centre,Government of Malawi,GF0090,"Unigold, Kit of 20 tests",,Test,,0,0,10,,0,,,-,,30,,0
35,Normal,,Zomba,ZA2762,,Zomba Central Prison Clinic Health Centre,,,Health Centre,Government of Malawi,GF5673,"Visitect CD4 + T cells Advanced Disease Rapid tests, 25 tests",,Test,,0,0,0,,25,,,-,,0,,0
36,Normal,,Zomba,ZA2722,,Zomba Central Hospital,,,Central Hospital,Government of Malawi,GF5118,"Abacavir/Lamivudine (ABC/3TC), 120/60mg, pack of 30 dispersible tablets",,Bottle,,0,24,12,,613,,,-,,0,,0
37,Normal,,Zomba,ZA2722,,Zomba Central Hospital,,,Central Hospital,Government of Malawi,GF1103,"Abacavir/Lamivudine (ABC/3TC), 600/300mg, pack of 30 tablets",,Bottle,,0,124,182,,644,,,-,,0,,-104
38,Normal,,Zomba,ZA2722,,Zomba Central Hospital,,,Central Hospital,Government of Malawi,GF5672,"Abacavir/Lamivudine/Dolutegravir, 60/30/5 mg pack of 180 tablets",,Bottle,,0,0,22,,"1,249",,,-,,0,,0
39,Normal,,Zomba,ZA2722,,Zomba Central Hospital,,,Central Hospital,Government of Malawi,GF0570,"Atazanavir/Ritonavir (ATV/r), 300/100mg, pack of 30 tablets",,Bottle,,0,0,0,,28,,,-,,0,,0
40,Normal,,Zomba,ZA2722,,Zomba Central Hospital,,,Central Hospital,Government of Malawi,GF5109,"Darunavir (DRV) 150mg, pack of 240 tablets",,Bottle,,0,0,0,,1,,,-,,0,,0
41,Normal,,Zomba,ZA2722,,Zomba Central Hospital,,,Central Hospital,Government of Malawi,GF1104,"Darunavir (DRV) 600mg, pack of 60 tablets",,Bottle,,0,16,19,,4,,,-,,0,,-4
42,Normal,,Zomba,ZA2722,,Zomba Central Hospital,,,Central Hospital,Government of Malawi,GF5282,"Dolutegravir (DTG) dispersible, 10mg, pack of 90 dispersible tablets",,Bottle,,0,0,0,,271,,,-,,0,,0
