Period,Order Type,District,Facility Code,Facility Name,Facility Type,Facility Operator,Product Code,Product,Unit of Issue,Quantity Received,Quantity Issued,AMC,Closing balance (SOH),Requested Quantity,Total stockout days,Total losses and adjustments
01/08/2026,Normal,Mzimba South,MZS0514,Kamteteka Health Centre,Health Centre,Government of Malawi,FP003700,"Jadelle( Levonorgestrel  75mg/rod),2rod Implant,5  year Efficacy",Set,0,20,17,20,-,0,0
01/08/2026,Normal,Mzimba South,MZS0514,Kamteteka Health Centre,Health Centre,Government of Malawi,FP004700,"Levonorgestrel (0.75mg, 2 Tab) or (1.5mg, 1 Tab) Pack - Emergency Pill",Piece,0,20,48,24,-,0,0
01/08/2026,Normal,Mzimba South,MZS0514,Kamteteka Health Centre,Health Centre,Government of Malawi,FP004151,"Levoplant (Levonogetrel75mg/rod),2rod Implant,3  years Efficacy",Vial,0,10,10,10,-,0,0
01/08/2026,Normal,Mzimba South,MZS0514,Kamteteka Health Centre,Health Centre,Government of Malawi,FP003800,Male condoms,Each,"7,056","5,616","5,661","1,440",-,6,0
01/08/2026,Normal,Mzimba South,MZS0514,Kamteteka Health Centre,Health Centre,Government of Malawi,BB049500,"Medroxyprogesterone Acetate Intramuscular Injection, 150mg/ml e.g Depo Provera/Triclofem,",Cycle,0,230,202,40,-,0,50
01/08/2026,Normal,Mzimba South,MZS0514,Kamteteka Health Centre,Health Centre,Government of Malawi,FP004900,"Medroxyprogesterone Acetate,Subcutaneous Injection, 104mg/0.65ml e.g  Sayana Press",Each,0,235,114,110,-,0,310
01/08/2026,Normal,Mzimba South,MZS0514,Kamteteka Health Centre,Health Centre,Government of Malawi,FP000600,Oral Contraceptive Tablets - Levonogestrel Only 0.3mg (Microlut),Each,0,3,1,39,-,0,6
01/08/2026,Normal,Mzimba South,MZS0514,Kamteteka Health Centre,Health Centre,Government of Malawi,FP000200,"Oral Contraceptive, combined low oestrogen (Microgynon) Ethinylestradiol 0.03mg + Levonorgestrel 0.15mg",Cycle,0,216,132,162,-,0,210
01/08/2026,Normal,Ntchisi,NS1203,Kamsonga Health Centre,Health Centre,Government of Malawi,BB048900,"Magnesium Sulphate, 50%, Injection, Ampoule of 2ml, Subcutaneous",Ampoule,0,20,7,20,-,0,0
01/08/2026,Normal,Ntchisi,NS1203,Kamsonga Health Centre,Health Centre,Government of Malawi,FP002400,Copper containing IUCD (Copper T®),Set,0,0,2,12,-,0,0
01/08/2026,Normal,Ntchisi,NS1203,Kamsonga Health Centre,Health Centre,Government of Malawi,FP002402,"Hormonal Intrauterine device (H-IUD), 6 years e.g Avibela/Mirena",Set,14,4,2,20,-,0,0
01/08/2026,Normal,Ntchisi,NS1203,Kamsonga Health Centre,Health Centre,Government of Malawi,FP004100,"Implanon (Etonogestrel 68mg),Implant,1 rod,",Pack,33,10,32,170,-,0,0
01/08/2026,Normal,Ntchisi,NS1203,Kamsonga Health Centre,Health Centre,Government of Malawi,FP003700,"Jadelle( Levonorgestrel  75mg/rod),2rod Implant,5  year Efficacy",Set,8,3,2,5,-,5,0
01/08/2026,Normal,Ntchisi,NS1203,Kamsonga Health Centre,Health Centre,Government of Malawi,FP004700,"Levonorgestrel (0.75mg, 2 Tab) or (1.5mg, 1 Tab) Pack - Emergency Pill",Piece,90,24,38,66,-,5,0
